               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027615,            0.007472,          0.00021316,             0.87983,             0.89007,             0.91453,             0.58757,            0.027446,            0.004461,          0.00010423,            0.008878,            0.008878,            0.008878
                  36,            0.027454,           0.0073448,          0.00021225,             0.89106,             0.88837,             0.92048,             0.59044,            0.027434,           0.0044873,           0.0001129,            0.008845,            0.008845,            0.008845
                  37,            0.027299,           0.0073746,          0.00020797,             0.88919,             0.88278,             0.91482,             0.59336,             0.02757,           0.0045577,          0.00010604,            0.008812,            0.008812,            0.008812
                  38,            0.027252,           0.0074346,          0.00020427,             0.89275,             0.88206,             0.91575,             0.59365,            0.027394,           0.0044906,          9.2754e-05,            0.008779,            0.008779,            0.008779
                  39,            0.026735,           0.0073465,          0.00020804,             0.89464,             0.87721,             0.91183,              0.5959,            0.027417,           0.0044537,          9.5844e-05,            0.008746,            0.008746,            0.008746
                  40,            0.026708,           0.0073214,          0.00020463,             0.87817,             0.88808,             0.91352,             0.59407,            0.027256,           0.0044643,          9.8729e-05,            0.008713,            0.008713,            0.008713
                  41,              0.0267,           0.0073785,          0.00020053,             0.90622,             0.87033,             0.91737,             0.59751,            0.027264,           0.0044497,          9.4335e-05,             0.00868,             0.00868,             0.00868
                  42,            0.026538,           0.0073029,          0.00020515,             0.90475,             0.88065,              0.9202,             0.59377,            0.027307,           0.0044822,          8.8162e-05,            0.008647,            0.008647,            0.008647
                  43,            0.026504,           0.0072311,          0.00019839,             0.89286,             0.88302,             0.91537,             0.59729,            0.027157,           0.0044846,           9.178e-05,            0.008614,            0.008614,            0.008614
                  44,            0.026347,           0.0072007,          0.00020278,             0.89432,             0.89111,             0.91648,             0.59358,            0.027244,           0.0044773,          0.00010092,            0.008581,            0.008581,            0.008581
                  45,            0.026229,           0.0071684,          0.00020462,             0.90598,              0.8806,             0.92046,             0.60145,            0.026923,           0.0044674,          9.8193e-05,            0.008548,            0.008548,            0.008548
                  46,            0.026258,           0.0070984,          0.00019596,             0.89953,              0.8835,             0.92113,             0.60611,            0.026797,            0.004423,           8.599e-05,            0.008515,            0.008515,            0.008515
                  47,            0.026036,           0.0071074,          0.00019166,             0.91596,             0.86613,             0.92015,             0.61115,            0.026647,           0.0044154,          8.3946e-05,            0.008482,            0.008482,            0.008482
                  48,            0.025736,           0.0070944,          0.00019649,             0.89712,             0.88929,             0.91908,             0.60799,            0.026494,            0.004402,          9.1195e-05,            0.008449,            0.008449,            0.008449
                  49,            0.025874,           0.0070334,          0.00019013,             0.91177,             0.87598,              0.9166,             0.60646,             0.02683,           0.0043999,          8.7303e-05,            0.008416,            0.008416,            0.008416
                  50,            0.026172,           0.0070728,           0.0001955,             0.90872,             0.88343,             0.92044,             0.61199,            0.026565,           0.0043421,          8.8484e-05,            0.008383,            0.008383,            0.008383
                  51,            0.025537,           0.0070321,          0.00018718,             0.91288,             0.87439,             0.92026,             0.60695,             0.02657,           0.0044204,          8.5043e-05,             0.00835,             0.00835,             0.00835
                  52,            0.025843,           0.0071953,           0.0001871,             0.91697,             0.88501,             0.92681,              0.6156,            0.026259,           0.0043645,           7.984e-05,            0.008317,            0.008317,            0.008317
                  53,            0.025475,            0.006969,          0.00017763,             0.90791,             0.89448,             0.92595,             0.61342,            0.026426,           0.0043346,           7.143e-05,            0.008284,            0.008284,            0.008284
                  54,            0.025727,           0.0070486,          0.00018492,             0.90542,             0.88752,             0.92449,             0.61223,            0.026316,            0.004355,           7.439e-05,            0.008251,            0.008251,            0.008251
                  55,            0.025345,           0.0069573,          0.00018487,             0.89883,             0.88842,                0.92,             0.61089,            0.026333,           0.0044104,          7.7498e-05,            0.008218,            0.008218,            0.008218
                  56,            0.025328,           0.0069883,          0.00018079,             0.89919,             0.89073,             0.92196,             0.61062,            0.026044,           0.0044068,          7.4111e-05,            0.008185,            0.008185,            0.008185
                  57,            0.025303,           0.0068771,          0.00018153,             0.89092,             0.89789,             0.92171,             0.61501,            0.026045,           0.0044285,          7.2591e-05,            0.008152,            0.008152,            0.008152
                  58,            0.025018,           0.0068598,          0.00017846,             0.90875,             0.88212,             0.91873,             0.60937,            0.026109,              0.0044,          7.4497e-05,            0.008119,            0.008119,            0.008119
                  59,             0.02525,           0.0070227,          0.00018101,             0.91633,             0.87759,             0.92049,             0.61367,            0.025896,           0.0043714,          7.0293e-05,            0.008086,            0.008086,            0.008086
                  60,            0.025142,           0.0068869,          0.00018135,             0.90878,             0.89205,             0.92411,             0.61413,            0.025996,           0.0044008,          7.4251e-05,            0.008053,            0.008053,            0.008053
                  61,            0.024964,           0.0068038,          0.00018256,             0.89767,              0.9063,             0.92531,             0.61176,            0.025977,           0.0044082,          7.6371e-05,             0.00802,             0.00802,             0.00802
                  62,            0.024789,            0.006875,          0.00017976,             0.91541,             0.88411,              0.9223,             0.61181,             0.02606,           0.0044063,          7.5798e-05,            0.007987,            0.007987,            0.007987
                  63,            0.024705,           0.0067357,          0.00017335,             0.91911,             0.88045,             0.92624,             0.61727,            0.026012,           0.0043921,          7.0682e-05,            0.007954,            0.007954,            0.007954
                  64,            0.024856,           0.0068002,          0.00017863,             0.92084,             0.87748,             0.92605,             0.61661,            0.026066,           0.0043763,          7.1082e-05,            0.007921,            0.007921,            0.007921
                  65,            0.024456,           0.0068026,          0.00017816,             0.91997,             0.88311,             0.92961,             0.61821,            0.025961,           0.0043516,          7.3026e-05,            0.007888,            0.007888,            0.007888
                  66,            0.024546,            0.006875,          0.00017108,             0.91237,             0.89139,             0.92651,             0.61938,            0.025868,           0.0043423,          6.9608e-05,            0.007855,            0.007855,            0.007855
                  67,            0.024526,           0.0068127,          0.00017481,             0.91705,             0.88593,              0.9273,             0.62089,            0.025916,           0.0043416,          6.9119e-05,            0.007822,            0.007822,            0.007822
                  68,            0.024415,           0.0067103,          0.00017572,             0.90724,              0.8947,             0.92914,              0.6201,            0.025934,           0.0043468,          7.0824e-05,            0.007789,            0.007789,            0.007789
                  69,            0.024334,           0.0067136,          0.00017716,             0.92099,             0.88212,             0.92565,             0.61993,            0.025786,           0.0043474,           7.111e-05,            0.007756,            0.007756,            0.007756
                  70,            0.024276,           0.0067321,           0.0001722,             0.91966,             0.88694,             0.92532,             0.62036,            0.025727,           0.0043487,          7.0078e-05,            0.007723,            0.007723,            0.007723
                  71,            0.024234,            0.006752,          0.00018115,              0.9243,             0.89139,             0.92694,             0.62032,            0.025706,            0.004352,          7.2126e-05,             0.00769,             0.00769,             0.00769
                  72,            0.024179,           0.0066003,          0.00017358,             0.92224,             0.88754,             0.92809,             0.62268,            0.025636,           0.0043384,          7.1096e-05,            0.007657,            0.007657,            0.007657
                  73,            0.024024,           0.0066537,          0.00016945,             0.92483,             0.88815,             0.93097,              0.6242,             0.02564,           0.0043437,          6.8596e-05,            0.007624,            0.007624,            0.007624
                  74,            0.024044,           0.0066519,          0.00016761,             0.92086,             0.88808,              0.9281,             0.62502,            0.025613,           0.0043409,          6.6758e-05,            0.007591,            0.007591,            0.007591
                  75,            0.023898,           0.0066237,          0.00016757,             0.91934,             0.88313,             0.92811,             0.62572,            0.025572,            0.004346,          6.6383e-05,            0.007558,            0.007558,            0.007558
                  76,            0.024094,           0.0066415,          0.00017249,             0.91679,             0.88477,             0.92624,             0.62584,            0.025626,           0.0043661,           6.748e-05,            0.007525,            0.007525,            0.007525
                  77,            0.023902,           0.0065498,          0.00016608,             0.91901,             0.87925,             0.92617,             0.62533,            0.025635,           0.0043808,          6.6668e-05,            0.007492,            0.007492,            0.007492
                  78,            0.023524,            0.006573,          0.00016659,             0.91747,             0.88342,             0.92676,             0.62586,            0.025653,           0.0043932,          6.5526e-05,            0.007459,            0.007459,            0.007459
                  79,            0.024077,           0.0064983,           0.0001703,             0.91169,              0.8894,             0.92595,             0.62614,            0.025601,           0.0044055,          6.6237e-05,            0.007426,            0.007426,            0.007426
                  80,            0.023639,           0.0065825,          0.00016146,             0.91129,             0.89338,             0.92814,             0.62732,            0.025591,           0.0044142,          6.5121e-05,            0.007393,            0.007393,            0.007393
                  81,            0.023892,            0.006558,          0.00016236,             0.91373,             0.89086,             0.92654,             0.62709,            0.025629,           0.0044218,          6.4301e-05,             0.00736,             0.00736,             0.00736
                  82,            0.023733,           0.0066169,          0.00016794,             0.91496,             0.88675,             0.92752,             0.62721,            0.025632,            0.004424,          6.4502e-05,            0.007327,            0.007327,            0.007327
